Site name,Generation date,Time period,Electricity unit price ?QAR/kWh?,Electricity generation ?kWh?,Electricity charge ?QAR?
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,13:30, ,1.105,0.2431
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,13:00,0.22,1.9071,0.4196
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,12:30,0.22,1.3262,0.2918
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,12:00,0.22,1.8649,0.4103
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,11:30,0.22,2.0996,0.4619
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,11:00,0.22,2.2046,0.485
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,10:30,0.22,2.1272,0.468
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,10:00,0.22,2.0772,0.457
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,09:30,0.22,1.8737,0.4122
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,09:00,0.22,1.6559,0.3643
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,08:30,0.22,1.4094,0.3101
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,08:00,0.22,1.0055,0.2212
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,07:30,0.22,0.551,0.1212
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,07:00,0.22,0.2451,0.0539
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,06:30,0.22,0.091,0.02
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,06:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,05:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,05:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,04:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,04:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,03:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,03:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,02:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,02:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,01:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,01:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,00:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-04,00:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,23:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,23:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,22:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,22:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,21:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,21:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,20:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,20:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,19:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,19:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,18:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,18:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,17:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,17:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,16:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,16:00,0.22,0.0203,0.0045
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,15:30,0.22,0.2383,0.0524
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,15:00,0.22,0.4613,0.1015
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,14:30,0.22,0.7811,0.1718
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,14:00,0.22,1.0336,0.2274
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,13:30,0.22,1.3637,0.3
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,13:00,0.22,1.6596,0.3651
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,12:30,0.22,1.9178,0.4219
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,12:00,0.22,2.1538,0.4738
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,11:30,0.22,2.2242,0.4893
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,11:00,0.22,2.2487,0.4947
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,10:30,0.22,2.2185,0.4881
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,10:00,0.22,2.1573,0.4746
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,09:30,0.22,2.0064,0.4414
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,09:00,0.22,1.7724,0.3899
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,08:30,0.22,1.4311,0.3148
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,08:00,0.22,1.103,0.2427
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,07:30,0.22,0.6812,0.1499
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,07:00,0.22,0.246,0.0541
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,06:30,0.22,0.0983,0.0216
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,06:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,05:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,05:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,04:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,04:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,03:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,03:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,02:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,02:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,01:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,01:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,00:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-03,00:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,23:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,23:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,22:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,22:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,21:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,21:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,20:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,20:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,19:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,19:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,18:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,18:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,17:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,17:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,16:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,16:00,0.22,0.0029,0.00060
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,15:30,0.22,0.2479,0.0545
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,15:00,0.22,0.5843,0.1285
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,14:30,0.22,0.6246,0.1374
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,14:00,0.22,0.9135,0.201
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,13:30,0.22,0.8737,0.1922
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,13:00,0.22,1.4774,0.325
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,12:30,0.22,1.7415,0.3831
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,12:00,0.22,1.7939,0.3947
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,11:30,0.22,1.8821,0.4141
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,11:00,0.22,2.1155,0.4654
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,10:30,0.22,2.1721,0.4779
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,10:00,0.22,2.188,0.4814
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,09:30,0.22,2.0085,0.4419
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,09:00,0.22,1.748,0.3846
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,08:30,0.22,1.3487,0.2967
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,08:00,0.22,1.0399,0.2288
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,07:30,0.22,0.6307,0.1388
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,07:00,0.22,0.339,0.0746
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,06:30,0.22,0.1054,0.0232
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,06:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,05:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,05:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,04:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,04:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,03:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,03:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,02:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,02:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,01:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,01:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,00:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-02,00:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,23:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,23:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,22:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,22:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,21:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,21:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,20:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,20:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,19:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,19:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,18:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,18:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,17:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,17:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,16:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,16:00,0.22,0.00020,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,15:30,0.22,0.1913,0.0421
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,15:00,0.22,0.5467,0.1203
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,14:30,0.22,0.9124,0.2007
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,14:00,0.22,1.1097,0.2441
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,13:30,0.22,1.3622,0.2997
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,13:00,0.22,1.5525,0.3416
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,12:30,0.22,1.7682,0.389
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,12:00,0.22,1.7807,0.3918
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,11:30,0.22,1.8889,0.4156
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,11:00,0.22,2.1671,0.4768
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,10:30,0.22,2.037,0.4481
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,10:00,0.22,2.1217,0.4668
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,09:30,0.22,1.9263,0.4238
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,09:00,0.22,1.7165,0.3776
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,08:30,0.22,1.384,0.3045
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,08:00,0.22,0.9715,0.2137
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,07:30,0.22,0.6341,0.1395
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,07:00,0.22,0.3164,0.0696
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,06:30,0.22,0.1027,0.0226
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,06:00,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,05:30,0.22,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,05:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,04:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,04:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,03:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,03:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,02:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,02:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,01:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,01:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,00:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-12-01,00:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,23:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,23:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,22:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,22:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,21:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,21:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,20:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,20:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,19:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,19:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,18:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,18:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,17:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,17:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,16:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,16:00,0.32,0.0119,0.0038
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,15:30,0.32,0.2482,0.0794
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,15:00,0.32,0.5231,0.1674
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,14:30,0.32,0.846,0.2707
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,14:00,0.32,1.1826,0.3784
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,13:30,0.32,1.5077,0.4825
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,13:00,0.32,1.8471,0.5911
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,12:30,0.32,2.1097,0.6751
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,12:00,0.32,2.2959,0.7347
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,11:30,0.32,2.343,0.7498
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,11:00,0.32,2.4778,0.7929
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,10:30,0.32,2.3478,0.7513
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,10:00,0.32,2.4033,0.7691
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,09:30,0.32,2.1262,0.6804
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,09:00,0.32,1.9031,0.609
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,08:30,0.32,1.6255,0.5202
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,08:00,0.32,1.2099,0.3872
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,07:30,0.32,0.7779,0.2489
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,07:00,0.32,0.2526,0.0808
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,06:30,0.32,0.0905,0.029
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,06:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,05:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,05:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,04:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,04:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,03:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,03:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,02:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,02:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,01:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,01:00,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,00:30,0.32,0.0,0.0
Mowasalat Hybrid Solar Charging Station - LTS Building,2025-11-30,00:00,0.32,0.0,0.0
